종목명,종목코드,초기 자본,2025년 10월 15일 수요일 9:00,,,,,,,2025년 10월 16일 목요일 9:00,,,,,,,,2025년 10월 17일 금요일 9:00,,,,,,,,2025년 10월 20일 월요일 9:00,,,,,,,,2025년 10월 21일 화요일 9:00,,,,,,,,2025년 10월 22일 수요일 9:00,,,,,,,,2025년 10월 23일 목요일 9:00,,,,,,,,2025년 10월 24일 금요일 9:00,,,,,,,,2025년 10월 27일 월요일 9:00,,,,,,,,2025년 10월 28일 화요일 9:00,,,,,,,,2025년 10월 29일 수요일 9:00,,,,,,,,2025년 10월 30일 목요일 9:00,,,,,,,,2025년 10월 31일 금요일 9:00,,,,,,,,2025년 11월 1일 토요일 9:00,,,,,,,
,,"₩2,000,000",사유,거래,종가,보유 주식수,잔고,자산현황,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률
대원화성,024890,"₩2,000,000",골드크로스,BUY,₩	921,"2,171",₩	509,"₩	2,000,000",0.00%,손절,SELL,₩	906,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	893,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	858,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	853,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	852,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	841,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	839,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	850,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	844,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	834,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	850,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	835,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%,-,-,₩	818,0,"₩	1,967,435","₩	1,967,435","₩32,565",1.63%
디아이씨,092200,"₩2,000,000",골드크로스,BUY,"₩	4,845",412,"₩	3,860","₩	2,000,000",0.00%,보유,HOLD,"₩	4,900",412,"₩	3,860","₩	2,022,660","₩22,660",1.13%,손절,SELL,"₩	4,840",412,"₩	3,860","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,775",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	5,220",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	5,170",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	5,140",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,860",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,900",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,870",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,790",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,750",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,745",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%,-,-,"₩	4,945",0,"₩	1,997,940","₩	1,997,940","₩2,060",0.10%
KG스틸,016380,"₩2,000,000",골드크로스,BUY,"₩	5,760",347,"₩	1,280","₩	2,000,000",0.00%,보유,HOLD,"₩	5,870",347,"₩	1,280","₩	2,038,170","₩38,170",1.91%,보유,HOLD,"₩	5,690",347,"₩	1,280","₩	1,975,710","₩24,290",1.21%,보유,HOLD,"₩	5,680",347,"₩	1,280","₩	1,972,240","₩27,760",1.39%,보유,HOLD,"₩	5,580",347,"₩	1,280","₩	1,937,540","₩62,460",3.12%,보유,HOLD,"₩	5,560",347,"₩	1,280","₩	1,930,600","₩69,400",3.47%,보유,HOLD,"₩	5,620",347,"₩	1,280","₩	1,951,420","₩48,580",2.43%,보유,HOLD,"₩	5,540",347,"₩	1,280","₩	1,923,660","₩76,340",3.82%,보유,HOLD,"₩	5,610",347,"₩	1,280","₩	1,947,950","₩52,050",2.60%,보유,HOLD,"₩	5,600",347,"₩	1,280","₩	1,944,480","₩55,520",2.78%,보유,HOLD,"₩	5,590",347,"₩	1,280","₩	1,941,010","₩58,990",2.95%,보유,HOLD,"₩	5,550",347,"₩	1,280","₩	1,927,130","₩72,870",3.64%,보유,HOLD,"₩	5,520",347,"₩	1,280","₩	1,916,720","₩83,280",4.16%,손절,SELL,"₩	5,450",347,"₩	1,280","₩	1,892,430","₩107,570",5.38%
OCI,456040,"₩2,000,000",골드크로스,BUY,"₩	56,700",35,"₩	15,500","₩	2,000,000",0.00%,보유,HOLD,"₩	58,800",35,"₩	15,500","₩	2,073,500","₩73,500",3.68%,보유,HOLD,"₩	59,300",35,"₩	15,500","₩	2,091,000","₩91,000",4.55%,손절,SELL,"₩	58,700",35,"₩	15,500","₩	2,070,000","₩70,000",3.50%,-,-,"₩	57,600",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	57,600",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	60,100",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	58,900",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	62,600",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	63,100",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	62,100",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	60,800",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	58,900",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%,-,-,"₩	59,100",0,"₩	2,070,000","₩	2,070,000","₩70,000",3.50%
SK아이이테크놀로지,361610,"₩2,000,000",골드크로스,BUY,"₩	29,300",68,"₩	7,600","₩	2,000,000",0.00%,보유,HOLD,"₩	29,700",68,"₩	7,600","₩	2,027,200","₩27,200",1.36%,보유,HOLD,"₩	31,400",68,"₩	7,600","₩	2,142,800","₩142,800",7.14%,보유,HOLD,"₩	33,950",68,"₩	7,600","₩	2,316,200","₩316,200",15.81%,보유,HOLD,"₩	33,150",68,"₩	7,600","₩	2,261,800","₩261,800",13.09%,보유,HOLD,"₩	33,150",68,"₩	7,600","₩	2,261,800","₩261,800",13.09%,보유,HOLD,"₩	33,150",68,"₩	7,600","₩	2,261,800","₩261,800",13.09%,손절,SELL,"₩	31,950",68,"₩	7,600","₩	2,180,200","₩180,200",9.01%,-,-,"₩	33,700",0,"₩	2,180,200","₩	2,180,200","₩180,200",9.01%,-,-,"₩	33,600",0,"₩	2,180,200","₩	2,180,200","₩180,200",9.01%,-,-,"₩	34,300",0,"₩	2,180,200","₩	2,180,200","₩180,200",9.01%,-,-,"₩	33,850",0,"₩	2,180,200","₩	2,180,200","₩180,200",9.01%,-,-,"₩	31,950",0,"₩	2,180,200","₩	2,180,200","₩180,200",9.01%,-,-,"₩	30,700",0,"₩	2,180,200","₩	2,180,200","₩180,200",9.01%
금비,008870,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	59,500",33,"₩	36,500","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	58,500",33,"₩	36,500","₩	1,967,000","₩33,000",1.65%,보유,HOLD,"₩	58,600",33,"₩	36,500","₩	1,970,300","₩29,700",1.49%,보유,HOLD,"₩	58,600",33,"₩	36,500","₩	1,970,300","₩29,700",1.49%,보유,HOLD,"₩	58,200",33,"₩	36,500","₩	1,957,100","₩42,900",2.15%,보유,HOLD,"₩	58,300",33,"₩	36,500","₩	1,960,400","₩39,600",1.98%,보유,HOLD,"₩	58,300",33,"₩	36,500","₩	1,960,400","₩39,600",1.98%,보유,HOLD,"₩	58,500",33,"₩	36,500","₩	1,967,000","₩33,000",1.65%,보유,HOLD,"₩	58,400",33,"₩	36,500","₩	1,963,700","₩36,300",1.82%,보유,HOLD,"₩	58,200",33,"₩	36,500","₩	1,957,100","₩42,900",2.15%,보유,HOLD,"₩	58,000",33,"₩	36,500","₩	1,950,500","₩49,500",2.48%,보유,HOLD,"₩	57,300",33,"₩	36,500","₩	1,927,400","₩72,600",3.63%,보유,HOLD,"₩	58,400",33,"₩	36,500","₩	1,963,700","₩36,300",1.82%
대구백화점,006370,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	6,730",297,"₩	1,190","₩	2,000,000",₩0,0.00%,손절,SELL,"₩	6,580",297,"₩	1,190","₩	1,955,450","₩44,550",2.23%,골드크로스,BUY,"₩	6,700",291,"₩	5,750","₩	1,955,450","₩44,550",2.23%,보유,HOLD,"₩	6,690",291,"₩	5,750","₩	1,952,540","₩47,460",2.37%,보유,HOLD,"₩	6,490",291,"₩	5,750","₩	1,894,340","₩105,660",5.28%,손절,SELL,"₩	6,400",291,"₩	5,750","₩	1,868,150","₩131,850",6.59%,-,-,"₩	6,340",0,"₩	1,868,150","₩	1,868,150","₩131,850",6.59%,-,-,"₩	6,510",0,"₩	1,868,150","₩	1,868,150","₩131,850",6.59%,-,-,"₩	6,700",0,"₩	1,868,150","₩	1,868,150","₩131,850",6.59%,-,-,"₩	6,450",0,"₩	1,868,150","₩	1,868,150","₩131,850",6.59%,-,-,"₩	6,300",0,"₩	1,868,150","₩	1,868,150","₩131,850",6.59%,-,-,"₩	6,270",0,"₩	1,868,150","₩	1,868,150","₩131,850",6.59%,-,-,"₩	6,110",0,"₩	1,868,150","₩	1,868,150","₩131,850",6.59%
대창,012800,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	1,361","1,469",₩	691,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,341","1,469",₩	691,"₩	1,970,620","₩29,380",1.47%,보유,HOLD,"₩	1,313","1,469",₩	691,"₩	1,929,488","₩70,512",3.53%,보유,HOLD,"₩	1,317","1,469",₩	691,"₩	1,935,364","₩64,636",3.23%,보유,HOLD,"₩	1,300","1,469",₩	691,"₩	1,910,391","₩89,609",4.48%,보유,HOLD,"₩	1,309","1,469",₩	691,"₩	1,923,612","₩76,388",3.82%,보유,HOLD,"₩	1,305","1,469",₩	691,"₩	1,917,736","₩82,264",4.11%,보유,HOLD,"₩	1,313","1,469",₩	691,"₩	1,929,488","₩70,512",3.53%,보유,HOLD,"₩	1,328","1,469",₩	691,"₩	1,951,523","₩48,477",2.42%,보유,HOLD,"₩	1,316","1,469",₩	691,"₩	1,933,895","₩66,105",3.31%,보유,HOLD,"₩	1,318","1,469",₩	691,"₩	1,936,833","₩63,167",3.16%,보유,HOLD,"₩	1,321","1,469",₩	691,"₩	1,941,240","₩58,760",2.94%,보유,HOLD,"₩	1,314","1,469",₩	691,"₩	1,930,957","₩69,043",3.45%
삼성바이오로직스,207940,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	1,732,803",1,"₩	267,197","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,742,028",1,"₩	267,197","₩	2,009,225","₩9,225",0.46%,보유,HOLD,"₩	1,717,428",1,"₩	267,197","₩	1,984,625","₩15,375",0.77%,보유,HOLD,"₩	1,745,103",1,"₩	267,197","₩	2,012,300","₩12,300",0.62%,보유,HOLD,"₩	1,758,941",1,"₩	267,197","₩	2,026,138","₩26,138",1.31%,보유,HOLD,"₩	1,803,530",1,"₩	267,197","₩	2,070,727","₩70,727",3.54%,보유,HOLD,"₩	1,786,617",1,"₩	267,197","₩	2,053,814","₩53,814",2.69%,보유,HOLD,"₩	1,811,217",1,"₩	267,197","₩	2,078,414","₩78,414",3.92%,보유,HOLD,"₩	1,857,343",1,"₩	267,197","₩	2,124,540","₩124,540",6.23%,보유,HOLD,"₩	1,894,244",1,"₩	267,197","₩	2,161,441","₩161,441",8.07%,보유,HOLD,"₩	1,877,331",1,"₩	267,197","₩	2,144,528","₩144,528",7.23%,보유,HOLD,"₩	1,877,331",1,"₩	267,197","₩	2,144,528","₩144,528",7.23%,보유,HOLD,"₩	1,877,331",1,"₩	267,197","₩	2,144,528","₩144,528",7.23%
삼진제약,005500,"₩2,000,000",,,,,,,,골드크로스,BUY,"₩	19,650",101,"₩	15,350","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	19,680",101,"₩	15,350","₩	2,003,030","₩3,030",0.15%,보유,HOLD,"₩	19,560",101,"₩	15,350","₩	1,990,910","₩9,090",0.45%,보유,HOLD,"₩	19,570",101,"₩	15,350","₩	1,991,920","₩8,080",0.40%,보유,HOLD,"₩	19,580",101,"₩	15,350","₩	1,992,930","₩7,070",0.35%,보유,HOLD,"₩	19,800",101,"₩	15,350","₩	2,015,150","₩15,150",0.76%,보유,HOLD,"₩	19,800",101,"₩	15,350","₩	2,015,150","₩15,150",0.76%,보유,HOLD,"₩	19,790",101,"₩	15,350","₩	2,014,140","₩14,140",0.71%,보유,HOLD,"₩	19,900",101,"₩	15,350","₩	2,025,250","₩25,250",1.26%,보유,HOLD,"₩	19,990",101,"₩	15,350","₩	2,034,340","₩34,340",1.72%,보유,HOLD,"₩	19,830",101,"₩	15,350","₩	2,018,180","₩18,180",0.91%,손절,SELL,"₩	19,760",101,"₩	15,350","₩	2,011,110","₩11,110",0.56%,-,-,"₩	19,730",0,"₩	2,011,110","₩	2,011,110","₩11,110",0.56%
